City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,saipan,15.1355,145.701,28.39,83,0,1.54,MP,1722976302
83,fortaleza,-3.7227,-38.5247,28.07,65,0,7.2,BR,1722975600
84,saint-joseph,-21.3667,55.6167,19.21,75,30,1.33,RE,1722976302
85,avarua,-21.2078,-159.775,25.03,83,20,1.54,CK,1722976302
86,nova vicosa,-17.8919,-39.3719,22.69,73,0,3.8,BR,1722976303
87,rantepao,-2.9701,119.8978,19.31,100,90,0.74,ID,1722976303
88,temiskaming shores,47.4938,-79.7153,20.89,32,66,4.55,CA,1722976303
89,juneau,58.3019,-134.4197,22.0,49,20,3.6,US,1722976303
90,lodja,-3.4833,23.4333,22.98,37,7,0.31,CD,1722976303
91,ingeniero jacobacci,-41.3427,-69.5448,3.97,68,100,8.04,AR,1722976303
92,beloyarskiy,63.7119,66.6722,5.5,87,31,2.15,RU,1722976304
93,susuman,62.7833,148.1667,8.89,82,100,1.67,RU,1722976304
94,filadelfia,39.9523,-75.1638,33.89,65,75,5.14,US,1722976205
95,enewetak,11.3474,162.3373,28.25,79,33,4.51,MH,1722976304
96,nova sintra,14.8667,-24.7167,25.91,83,100,6.25,CV,1722976304
97,mountain home,43.133,-115.6912,35.01,20,20,3.6,US,1722976214
98,zhanjiang,21.2815,110.3427,26.79,78,2,1.69,CN,1722976080
99,hithadhoo,-0.6,73.0833,28.09,72,20,0.94,MV,1722976304
100,georgetown,5.4112,100.3354,26.96,83,20,1.03,MY,1722976214
101,pechora,65.1472,57.2244,8.07,74,9,0.92,RU,1722976304
102,nova vodolaha,49.7185,35.8708,18.48,56,35,1.28,UA,1722976305
103,uturoa,-16.7333,-151.4333,25.77,86,21,7.91,PF,1722976305
104,vozhega,60.4725,40.2213,13.26,98,77,1.88,RU,1722976305
105,quibala,-10.7337,14.98,18.96,69,0,1.01,AO,1722976305
106,kralendijk,12.15,-68.2667,30.99,66,20,8.75,BQ,1722976182
107,wailua homesteads,22.0669,-159.378,27.44,70,0,5.14,US,1722976305
108,badger,64.8,-147.5333,27.14,39,75,2.57,US,1722976305
